,name,en_react,en_prod,en_ts,f_barr,b_barr
190,CO_Cat195,-5709.36463764,-5709.36654444,-5709.35116365,8.45505672817,9.65159184286
191,CO_Cat196,-3727.80791218,-3727.80847019,-3727.79293938,9.39557424168,9.74573081782
192,CO_Cat197,-3884.93839436,-3884.94534605,-3884.92351557,9.33658207365,13.6988335896
193,CO_Cat198,-3118.55628496,-3118.55846477,-3118.54066501,9.80166701465,11.1695184977
194,CO_Cat199,-3432.81871348,-3432.81926805,-3432.80391673,9.28510119424,9.63309913771
196,CO_Cat201,-4028.62739774,-4028.62809294,-4028.61297057,9.053186233169999,9.4894308375
197,CO_Cat202,-3884.95268318,-3884.94864669,-3884.93547439,10.7986792085,8.265743386819999
198,CO_Cat203,-4124.57788984,-4124.57399836,-4124.56102097,10.5853761796,8.1434355101
199,CO_Cat204,-2887.22573885,-2887.219036,-2887.20603144,12.366586995499999,8.16048494326
200,CO_Cat205,-3044.33982314,-3044.33959741,-3044.32233485,10.974068113800001,10.832420394200001
201,CO_Cat206,-3515.72550695,-3515.72696504,-3515.70915832,10.258920637200001,11.173885963800002
202,CO_Cat207,-3201.43531536,-3201.43775383,-3201.42513532,6.38807181025,7.918234900730001
203,CO_Cat208,-3187.97101652,-3187.97809087,-3187.96010883,6.844679097949999,11.283900929300001
204,CO_Cat210,-3502.26397359,-3502.26349598,-3502.24872301,9.569883830610001,9.27017901805
205,CO_Cat211,-3668.0455567000004,-3668.05054618,-3668.03558506,6.257298830580001,9.388244930610002
206,CO_Cat212,-3653.58432317,-3653.58338987,-3653.56980438,9.11067865365,8.52502403714
207,CO_Cat213,-4111.38205125,-4111.38159568,-4111.36719278,9.323831080489999,9.03795657772
208,CO_Cat214,-4050.35585403,-4050.35522948,-4050.34132805,9.1151904469,8.72327938875
209,CO_Cat215,-5491.46914412,-5491.46852322,-5491.45463543,9.104340807669999,8.714720158939999
210,CO_Cat216,-3810.72827386,-3810.72731613,-3810.7133284999995,9.37835538104,8.77737070747
211,CO_Cat217,-3810.68938533,-3810.6924284999996,-3810.67867545,6.720551443810001,8.63016952904
212,CO_Cat218,-3810.72870023,-3810.72764562,-3810.71381567,9.34020280342,8.67842500978
213,CO_Cat219,-4569.12125443,-4569.12209484,-4569.11669404,2.8616880485900005,3.3890533074299998
214,CO_Cat223,-4111.51060645,-4111.51025384,-4111.50327153,4.60273198128,4.381465856519999
215,CO_Cat225,-3810.71796174,-3810.71626672,-3810.70226802,9.84795839059,8.784317237789999
216,CO_Cat226,-3967.84431658,-3967.84913294,-3967.83089353,8.42309139385,11.445403049200001
217,CO_Cat227,-3201.46628423,-3201.47019131,-3201.45297818,8.34967278232,10.801402599500001
218,CO_Cat228,-3515.72859222,-3515.72815239,-3515.71224385,10.2587574844,9.982759981160001
219,CO_Cat229,-4111.35598226,-4111.36278767,-4111.35472452,0.78924379869,5.05970322521
220,CO_Cat230,-4111.5276695,-4111.52574232,-4111.5075142,12.647642225699999,11.4383184674
221,CO_Cat231,-3967.86715028,-3967.85757786,-3967.84609149,13.214590783299998,7.207806295549999
222,CO_Cat232,-4207.48467973,-4207.48565456,-4207.46715624,10.996156447999999,11.607871533900001
223,CO_Cat233,-2879.98005921,-2879.97643972,-2879.96096812,11.9798403404,9.70857598031
224,CO_Cat234,-3037.09905251,-3037.09808618,-3037.08288273,10.1466905629,9.5403093076
225,CO_Cat235,-3508.48470962,-3508.48537485,-3508.46910267,9.79350939096,10.210947535599999
226,CO_Cat236,-3194.21130302,-3194.21269799,-3194.19624796,9.44719317286,10.322550100099999
227,CO_Cat237,-3180.72702892,-3180.73049252,-3180.71476253,7.6972762558,9.87071816002
228,CO_Cat238,-3652.12782377,-3652.13328158,-3652.11432615,8.46988477722,11.894712401600001
229,CO_Cat239,-3495.01458053,-3495.01770778,-3495.00213574,7.80922395037,9.771603034269999
230,CO_Cat240,-3660.82297006,-3660.82345714,-3660.80753609,9.68496279757,9.99061012474
231,CO_Cat241,-3646.33673113,-3646.33331328,-3646.31969453,10.6906283475,8.54589500297
232,CO_Cat242,-4104.13481994,-4104.13173889,-4104.11773261,10.7224619048,8.78907375972
233,CO_Cat243,-4043.10890851,-4043.10658585,-4043.09242366,10.3443999813,8.88690876593
234,CO_Cat244,-5484.22096017,-5484.21886342,-5484.20484105,10.1149009313,8.79917038753
235,CO_Cat245,-3803.48024492,-3803.47698083,-3803.46340542,10.566946225299999,8.51869874121
236,CO_Cat247,-3803.48062569,-3803.47725222,-3803.46419696,10.3091841479,8.19229967489
237,CO_Cat248,-4561.87399342,-4561.88242457,-4561.86815442,3.66402797074,8.95465469136
238,CO_Cat249,-3947.12374835,-3947.13525526,-3947.10883889,9.35582778995,16.5765231307
239,CO_Cat250,-4104.25529805,-4104.26680846,-4104.23729677,11.2959742122,18.518865835899998
240,CO_Cat251,-4343.88107326,-4343.89250664,-4343.86397999,10.7261893112,17.9007438779
241,CO_Cat252,-4104.25522541,-4104.26022982,-4104.2376853,11.0065856563,14.146900473199999
242,CO_Cat253,-5785.01554798,-5785.01966381,-5785.00246288,8.2110245581,10.793746983499998
243,CO_Cat254,-3803.47943446,-3803.47967481,-3803.46479582,9.18588566718,9.33670757537
244,CO_Cat255,-3960.6109950000005,-3960.61384282,-3960.59768213,8.35395239722,10.1409865016
245,CO_Cat256,-3194.22938768,-3194.22949657,-3194.21354176,9.943465336060001,10.011794845399999
246,CO_Cat257,-3508.48915667,-3508.48974255,-3508.47338207,9.898711358689999,10.2663566246
247,CO_Cat258,-4104.12077567,-4104.1252747,-4104.11141975,5.8709286809300005,8.69411274688
249,CO_Cat261,-4200.24577446,-4200.24512768,-4200.22993866,9.937114940019999,9.53125434596
250,CO_Cat262,-3108.87769745,-3108.87623665,-3108.86020786,10.9748838761,10.0582179984
251,CO_Cat263,-3265.9974890999997,-3265.99599866,-3265.9806922,10.5402143208,9.60494906161
252,CO_Cat264,-3737.38241503,-3737.38399825,-3737.36698623,9.68171857381,10.6752041642
253,CO_Cat265,-3423.10068173,-3423.10441541,-3423.08990641,6.76161566554,9.104535335560001
254,CO_Cat266,-3409.62630777,-3409.62968018,-3409.61374711,7.88193347625,9.99815278907
255,CO_Cat267,-3881.02863666,-3881.02699837,-3881.01708257,7.25030123864,6.222258699990001
256,CO_Cat268,-3723.92437095,-3723.92978868,-3723.91362332,6.74423992747,10.143916970800001
257,CO_Cat269,-3889.72175875,-3889.72207155,-3889.70604471,9.86070938347,10.056994355
258,CO_Cat270,-3875.23599463,-3875.23294826,-3875.21918472,10.5483782189,8.63675210342
259,CO_Cat271,-4333.02513785,-4333.03062713,-4333.01343109,7.346103113889999,10.790678462
260,CO_Cat272,-4272.00376502,-4272.00620945,-4271.99226417,7.2168926329,8.75079567982
261,CO_Cat273,-5713.11679652,-5713.11945799,-5713.10249152,8.97652339788,10.646621106900001
