name,en_ts
CO_Cat647,-3803.46355688
CO_Cat648,-4261.26151863
CO_Cat649,-4200.23562754
CO_Cat650,-5641.34715796
CO_Cat651,-3960.60771384
CO_Cat652,-3960.57974092
CO_Cat653,-3960.60912517
CO_Cat654,-4719.01576141
CO_Cat655,-4104.24883969
CO_Cat656,-4261.39012560
CO_Cat657,-4501.02016811
CO_Cat658,-4261.39986854
CO_Cat659,-5942.13727459
CO_Cat660,-3960.59269187
CO_Cat661,-4117.74072769
CO_Cat662,-3351.34721756
CO_Cat663,-3665.61086963
CO_Cat664,-4261.25215789
CO_Cat665,-4261.40499890
CO_Cat666,-4117.73672734
CO_Cat667,-4357.36289801
CO_Cat668,-2653.90569179
CO_Cat669,-2811.02421045
CO_Cat670,-3282.40846616
CO_Cat671,-2968.13669564
CO_Cat672,-2954.65007520
CO_Cat673,-3426.06605642
CO_Cat674,-3268.94811099
CO_Cat675,-3434.75156275
CO_Cat676,-3420.27152676
CO_Cat677,-3878.06858269
CO_Cat678,-3817.04299264
CO_Cat679,-5258.15561439
CO_Cat680,-3577.41468106
CO_Cat681,-3577.38776630
CO_Cat682,-3577.41512275
CO_Cat683,-4335.82172338
CO_Cat684,-3721.05604199
CO_Cat685,-3878.19641816
CO_Cat686,-4117.82175803
CO_Cat687,-3878.19971609
CO_Cat688,-5558.93557246
CO_Cat689,-3577.40821763
CO_Cat690,-3734.53782595
CO_Cat691,-2968.15319120
CO_Cat692,-3282.41199491
CO_Cat693,-3878.05816405
CO_Cat694,-3878.20748233
CO_Cat695,-3734.54312484
CO_Cat696,-3974.16968396
CO_Cat697,-2811.03489187
CO_Cat698,-2968.15286818
CO_Cat699,-3439.53966329
CO_Cat700,-3125.26874036
CO_Cat701,-3111.78673013
CO_Cat702,-3583.19781411
CO_Cat703,-3426.07764889
CO_Cat704,-3591.87596744
CO_Cat705,-3577.40063356
CO_Cat706,-4035.19814722
CO_Cat707,-3974.17279317
CO_Cat708,-5415.28618779
CO_Cat709,-3734.54405420
CO_Cat710,-3734.50499444
CO_Cat711,-3734.54478291
CO_Cat712,-4492.95354600
CO_Cat713,-3878.18140223
CO_Cat714,-4035.33236436
CO_Cat715,-4274.95593340
CO_Cat716,-4035.33047058
CO_Cat717,-5716.06829271
CO_Cat718,-3734.54280987
CO_Cat719,-3891.67133266
CO_Cat720,-3125.28286642
CO_Cat721,-3439.54316125
CO_Cat722,-4035.18640950
CO_Cat723,-4035.33790293
CO_Cat724,-3891.68222449
CO_Cat725,-4131.31004252
CO_Cat726,-3108.85711528
CO_Cat727,-3265.97392175
CO_Cat728,-3737.35984461
CO_Cat729,-3423.08745310
CO_Cat730,-3409.60968231
CO_Cat731,-3881.00201001
CO_Cat732,-3723.88042474
CO_Cat733,-3889.70533375
CO_Cat734,-3875.22107579
CO_Cat735,-4333.01886308
CO_Cat736,-4271.99392890
CO_Cat737,-5713.10582659
CO_Cat739,-4032.33323361
CO_Cat740,-4032.36218241
CO_Cat741,-4790.75956172
CO_Cat742,-4176.00035387
CO_Cat743,-4333.14621446
CO_Cat744,-4572.77655442
CO_Cat745,-4333.14826526
CO_Cat746,-6013.88331879
CO_Cat747,-4032.35573379
CO_Cat748,-4189.48789467
CO_Cat749,-3423.10427995
CO_Cat750,-3737.37279517
CO_Cat751,-4332.99337875
CO_Cat752,-4333.15323230
CO_Cat753,-4189.50012082
CO_Cat754,-4429.12783709
CO_Cat755,-3108.92335169
CO_Cat756,-3266.04755177
