name,en_prod
Rh_Cat628,-3150.52740554
Rh_Cat629,-2910.91292076
Rh_Cat62,-1853.34333723
Rh_Cat630,-4591.64119722
Rh_Cat631,-2610.09648967
Rh_Cat632,-2767.25312273
Rh_Cat633,-2000.86702783
Rh_Cat634,-2315.12469415
Rh_Cat635,-2910.75673699
Rh_Cat636,-2910.90741368
Rh_Cat637,-2767.25344559
Rh_Cat638,-3006.87757002
Rh_Cat639,-1765.17886874
Rh_Cat63,-1839.86116147
Rh_Cat640,-1922.29796054
Rh_Cat641,-2393.68800894
Rh_Cat642,-2079.40170256
Rh_Cat643,-2065.92998157
Rh_Cat644,-2537.34477502
Rh_Cat645,-2380.22702859
Rh_Cat646,-2546.01961995
Rh_Cat647,-2531.54537625
Rh_Cat648,-2989.34531051
Rh_Cat649,-2928.31168844
Rh_Cat64,-2311.27496982
Rh_Cat650,-4369.42997780
Rh_Cat651,-2688.68988195
Rh_Cat652,-2688.65730840
Rh_Cat653,-2688.68524788
Rh_Cat654,-3447.10200160
Rh_Cat655,-2832.33513995
Rh_Cat656,-2989.47469720
Rh_Cat657,-3229.10067875
Rh_Cat658,-2989.47708396
Rh_Cat659,-4670.21534676
Rh_Cat65,-2154.16015362
Rh_Cat660,-2688.67329273
Rh_Cat661,-2845.81663433
Rh_Cat662,-2079.42922402
Rh_Cat663,-2393.68963594
Rh_Cat664,-2989.32673080
Rh_Cat665,-2989.47970994
Rh_Cat666,-2845.82363123
Rh_Cat667,-3085.44577398
Rh_Cat668,-1381.98445226
Rh_Cat669,-1539.10459422
Rh_Cat66,-2319.95197272
Rh_Cat670,-2010.49025337
Rh_Cat671,-1696.21537984
Rh_Cat672,-1682.73686729
Rh_Cat673,-2154.14844558
Rh_Cat674,-1997.03317262
Rh_Cat675,-2162.83287158
Rh_Cat676,-2148.34792340
Rh_Cat677,-2606.14504546
Rh_Cat678,-2545.11539000
Rh_Cat679,-3986.22797808
Rh_Cat67,-2305.47640323
Rh_Cat680,-2305.49097404
Rh_Cat681,-2305.46843323
Rh_Cat682,-2305.49201757
Rh_Cat683,-3063.90191688
Rh_Cat684,-2449.15061968
Rh_Cat685,-2606.28588273
Rh_Cat686,-2845.91043620
Rh_Cat687,-2606.28208625
Rh_Cat688,-4287.02608600
Rh_Cat689,-2305.47582702
Rh_Cat68,-2763.27389161
Rh_Cat690,-2462.62548726
Rh_Cat691,-1696.23467528
Rh_Cat692,-2010.49399799
Rh_Cat693,-2606.13248877
Rh_Cat694,-2606.28386459
Rh_Cat695,-2462.62053092
Rh_Cat696,-2702.25678088
Rh_Cat697,-1539.11448232
Rh_Cat698,-1696.22776756
Rh_Cat699,-2167.62134008
Rh_Cat69,-2702.24364501
Rh_Cat6,-1997.01685349
Rh_Cat700,-1853.35298444
Rh_Cat701,-1839.86066590
Rh_Cat702,-2311.26027148
Rh_Cat703,-2154.16253107
Rh_Cat704,-2319.95910633
Rh_Cat705,-2305.47672404
Rh_Cat706,-2763.27530491
Rh_Cat707,-2702.24878034
Rh_Cat708,-4143.36187019
Rh_Cat709,-2462.61684779
Rh_Cat70,-4143.35644295
Rh_Cat710,-2462.60110552
Rh_Cat711,-2462.61579170
Rh_Cat712,-3221.03525007
Rh_Cat713,-2606.26015929
Rh_Cat714,-2763.40569292
Rh_Cat715,-3003.03546336
Rh_Cat716,-2763.41801653
Rh_Cat717,-4444.15295495
Rh_Cat718,-2462.62166299
Rh_Cat719,-2619.75973303
Rh_Cat71,-2462.61985421
Rh_Cat720,-1853.35743969
Rh_Cat721,-2167.62533715
Rh_Cat722,-2763.26102297
Rh_Cat723,-2763.41536328
Rh_Cat724,-2619.76025607
Rh_Cat725,-2859.38777361
Rh_Cat726,-1836.93900251
